Filename,Period,Date,Speech #,Paragraph #,Speaker,Role,Gender,Party,Interjector Party,Previous Paragraphs,Paragraph,blind_topic label,notes,Agenda Item,Context,Supplementary Context,manual_annotation,Interjection Text,Topic Label,prediction_phaseIII,prediction,flagged,Interjection Label,Interjection,Intervention,Quote,Interjector,Interjector Gender,Verbal interjection,Nonverbal interjection,Interjection type,Directed at (Person),Directed at (Party),Paragraph tokens,Interjection tokens,paragraph_token_count,interjection_token_count,Previous Interjections,partition,entropy,correct,merged_true,merged_pred,merged_correct,Unnamed: 0,prediction_changed,flagged_phaseIII,entropy_phaseIII
20_0103.xml,20,11.05.2023,6,16,Stephan Thomae,,männlich,FDP,GRUENE,"['Das ist ganzheitliches, konzeptionelles Denken. Diesen Weg, den wir beschreiten wollen, ist der eigentliche wirksame Weg, um irreguläre Migration hierher zu reduzieren. Das ist der Unterschied.', 'Dahin gehend ist Ihr Antrag reichlich dünn und allenfalls etwas für Leute, die es gerne etwas einfacher hätten.']",Unser Weg wird zum Erfolg führen. Deswegen werden wir diesen Weg weiter beschreiten.,Immigration,,Grenzschutzzäune gemeinsam finanzieren – Gemeinsam gegen illegale Einwanderung vorgehen,"Beratung des Antrags der Abgeordneten Petr Bystron, Matthias Moosdorf, Tino Chrupalla, weiterer Abgeordneter und der Fraktion der AfD",,False,Hier: Wir klatschen!,Immigration,Immigration,Immigration,True,cooperative,True,False,False,Marcel Emmerich,männlich,True,False,Zuruf,Stephan Thomae,FDP,,"['Hier', 'Wir', 'klatschen']",0,3,"[('Beifall', 'FDP', None), ('Beifall', 'SPD', None), ('Beifall', 'GRUENE', None)]",unlabeled,0.3476997017860412,0.0,,,,2003.0,False,False,0.14313091
20_0132.xml,20,20.10.2023,10,4,Isabel Cademartori Dujisin,,weiblich,SPD,GRUENE,"['Sehr, sehr viele davon sind CDU- oder CSU-regiert, und über 100 davon liegen allein in Bayern.', 'So viel zum Thema „Was wünschen sich die Kommunen?“. Diese fordern ganz klar ein neues Straßenverkehrsgesetz und davon abgeleitet eine neue Straßenverkehrs-Ordnung, und das bringen wir heute auf den Weg.']","Wem gehört die Stadt? Unter dieser Überschrift diskutieren wir seit Langem, wie wir in zunehmend engen Räumen ein gutes Nebeneinander verschiedener Verkehrsteilnehmerinnen und -teilnehmer organisieren. Mir geht es so wie Swantje: Ich bin auch Kommunalpolitikerin gewesen, bevor ich in den Bundestag kam, war auch Verkehrspolitikerin vor Ort und bin sehr oft verzweifelt. Denn wenn wir gute Projekte hatten – parteiübergreifend gewollt –, sind wir an der Straßenverkehrs-Ordnung gescheitert: bei der Ausweisung von Zebrastreifen, bei der Anordnung von Tempo 30, bei zusätzlichen Busspuren etc.",Transportation,,,Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Zehnten Gesetzes zur Änderung des Straßenverkehrsgesetzes. Beschlussempfehlung und Bericht des Verkehrsausschusses (15. Ausschuss),,False,Genau das!,Transportation,Transportation,Transportation,False,cooperative,True,False,False,Swantje Henrike Michaelsen,weiblich,True,False,Zuruf,Isabel Cademartori Dujisin,SPD,,"['Genau', 'das']",0,2,[],unlabeled,0.0181200578808784,0.0,,,,2800.0,False,False,0.016314313
20_0088.xml,20,02.03.2023,5,4,Stephan Thomae,,männlich,FDP,FDP,"['Der Sonderweg, den Sie hier beklagen, ist der der Regierung Merkel, den wir mit unserem Paradigmenwechsel beenden werden, meine Damen und Herren.', 'Gerade jetzt im Februar 2023 haben sich einige Dinge geändert. Ich nenne zum Beispiel den EU-Migrationsgipfel am 9. und 10. Februar, bei dem auch Änderungen beim Außengrenzschutz beschlossen worden sind,']","bei denen die Kommissionspräsidentin Ursula von der Leyen von der CDU nicht gerade Vorreiterin gewesen ist, meine Damen und Herren.",Immigration,,Migrationspolitischen Sonderweg in Europa sofort beenden,Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Inneres und Heimat (4. Ausschuss) zu dem Antrag der Fraktion der CDU/CSU,,False,Aha!,Immigration,Immigration,Immigration,False,"cooperative, confrontational_others_cdu",True,False,False,Manuel Höferlin,männlich,True,False,Zuruf,Stephan Thomae,FDP,,['Aha'],0,1,[],unlabeled,0.1284403949975967,0.0,,,,1600.0,False,False,0.05713662
20_0062.xml,20,19.10.2022,4,7,Stephanie Aeffner,,weiblich,GRUENE,SPD,"['Ich frage Sie: Wie hilft das den Geflüchteten? Was bringt es Bund, Ländern und Kommunen bei der Bewältigung der Aufnahme? Und was bringt es uns als Gesellschaft? Um die Antwort vorwegzunehmen: Nichts!', 'Schauen wir auf die Fakten: Der UNHCR hat vor einigen Wochen eine sehr aufschlussreiche Studie veröffentlicht. Demnach sind von den 4 Millionen Ukrainerinnen und Ukrainern, die in 34 Länder geflüchtet sind, die allermeisten Frauen und Kinder. Fast alle der Frauen waren vorher berufstätig. 51 Prozent haben einen Masterabschluss. Von den befragten Ukrainerinnen und Ukrainern leben bereits 35 Prozent von neuen Anstellungen. Für Deutschland geht das IAB von einer Beschäftigungsquote von bis zu 15 Prozent aus – in der Kürze der Zeit ein großartiger Erfolg.']",Nein.,Immigration,,Sozialstaatsmagnet sofort abstellen – Ende des Rechtskreiswechsels für Kriegsflüchtlinge aus der Ukraine und Einführung eines strengen Sachleistungsprinzips für Asylbewerber,"Beratung des Antrags der Abgeordneten René Springer, Jürgen Pohl, Gerrit Huy, weiterer Abgeordneter und der Fraktion der AfD",,False,Nein! Sinnlos!,Immigration,Immigration,Immigration,False,cooperative,True,False,False,Marianne Schieder,weiblich,True,False,Zuruf,Stephanie Aeffner,GRUENE,,"['Nein', 'Sinnlos']",0,2,"[('Beifall', 'SPD', None)]",unlabeled,0.0990449711680412,0.0,,,,919.0,False,False,0.20026903
20_0107.xml,20,26.05.2023,7,1,Dirk Vöpel,,männlich,SPD,FDP,[],"Frau Präsidentin! Liebe Kolleginnen und Kollegen! Vielleicht nur ganz kurz, ohne dass ich mir Illusionen mache, dass es viel bringt: Ohne den NATO-Einsatz gäbe es heute wahrscheinlich keine Kosovo-Albaner mehr. Von daher bin ich dankbar, dass seinerzeit so entschieden wurde.",Defense,,Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der internationalen Sicherheitspräsenz in Kosovo (KFOR),– Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Bundesregierung. – Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung,,False,Exakt so ist es!,Defense,Defense,Defense,False,cooperative,True,False,False,Alexander Graf Lambsdorff,männlich,True,False,Zuruf,Dirk Vöpel,SPD,,"['Exakt', 'so', 'ist', 'es']",0,4,"[('Beifall', 'SPD', None), ('Beifall', 'GRUENE', None), ('Beifall', 'FDP', None), ('Beifall', 'CDU/CSU', None)]",unlabeled,0.1940212249755859,0.0,,,,2117.0,False,False,0.032579232
20_0076.xml,20,15.12.2022,5,6,Stephan Thomae,,männlich,FDP,GRUENE,"['und man denkt sich: Wo sind denn die Abgeordneten? Sind die denn nicht bei der Arbeit?', 'Aber das ist ja nicht unser einziger Arbeitsplatz, sondern die Arbeit des Abgeordneten findet auch in einer ganzen Reihe anderer Formate und eben auch Räumlichkeiten statt: in den Ausschüssen, in Berichterstattergesprächen, in öffentlichen Anhörungen, in Presseterminen, in Expertengesprächen, in Kommissionen, Arbeitskreisen, Parlamentariergruppen und anderem mehr. Einen Teil davon wollen wir jetzt besser sichtbar und erlebbar machen; denn die Menschen müssen besser verstehen können, auch sehen können und ein Stück weit miterleben können, was wir tun. Das schafft Vertrauen, und auf dieses Vertrauen sind wir angewiesen. Deswegen wollen wir die Ausschussarbeit besser verstehbar und erlebbar machen, meine Damen und Herren.']","Nun haben wir erlebt, Herr Kollege Schnieder, dass da Ängste bestehen, ob nicht die Ausschusskultur verloren geht: das Diskutieren auch mal ins Unreine hinein, die Möglichkeit, ein Argument auszuprobieren, ins Blaue hinein zu sprechen. Aber wenn wir ehrlich sind: Na ja, Ausschüsse sind auch kein Ort der vertraulichen, diskreten, geheimen Beratungen.",Government,,Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Ausschusstransparenz und Regierungsbefragung. Die Demokratie stärken – Klare Reformen für ein modernes und bürgernahes Parlament. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Vermeidung von Überschneidungen von Sitzungen des Bundestages mit Sitzungen der Ausschüsse und Gremien. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Ausschussöffentlichkeit und Zugang zu Dokumenten. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Frist für die Durchführung von öffentlichen Anhörungen. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Bessere Lesbarkeit von Vorlagen. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Beratungsfrist. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Bessere Lesbarkeit von Drucksachen durch Verzicht auf Gendersprache. Änderung der Geschäftsordnung des Deutschen Bundestages. hier: Sachverständige vor Hass schützen,"a) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Wahlprüfung, Immunität und Geschäftsordnung (1. Ausschuss). – zu dem Antrag der Fraktionen SPD, BÜNDNIS 90/DIE GRÜNEN und FDP. – zu dem Antrag der Fraktion der CDU/CSU. – zu dem Antrag der Abgeordneten Stephan Brandner, Thomas Seitz, Andreas Bleck und der Fraktion der AfD. – zu dem Antrag der Fraktion DIE LINKE. – zu dem Antrag der Fraktion DIE LINKE. – zu dem Antrag der Fraktion DIE LINKE. – zu dem Antrag der Fraktion DIE LINKE. b) Beratung des Antrags der Abgeordneten Stephan Brandner, Thomas Seitz, Andreas Bleck, weiterer Abgeordneter und der Fraktion der AfD. c) Beratung des Antrags der Abgeordneten Thomas Seitz, Stephan Brandner, Fabian Jacobi, weiterer Abgeordneter und der Fraktion der AfD",,False,Ja!,Government,Government,Government,False,cooperative,True,False,False,Canan Bayram,weiblich,True,False,Zuruf,Stephan Thomae,FDP,,['Ja'],0,1,[],unlabeled,0.1502329707145691,0.0,,,,1286.0,False,False,0.08222347
20_0076.xml,20,15.12.2022,14,14,Tina Rudolph,,weiblich,SPD,FDP,"['Diese Regierung mit diesem Gesundheitsminister hat den Mut, einen validen Vorschlag dafür vorzubringen. Es ist das erste Mal seit Jahren, dass das passiert. Es wird nicht nur die Forderung geäußert, die Fallpauschalen abzuschaffen, sondern es wird auch ein wirklicher Gegenfinanzierungsvorschlag gemacht. Wir wissen, wo wir damit hinwollen, und wir gießen das Ganze in eine große Reform des Gesundheitswesens. Deswegen: Ich danke Ihnen, Herr Minister, dass Sie den Mut hatten, die Regierungskommission einzusetzen, die schon nach einem Jahr viele enorm gute Vorschläge vorgelegt hat, von denen die ersten bereits in die Umsetzung gehen. Ich danke Ihnen, Herr Minister, auch dafür, dass Sie den Mut haben, eine große Krankenhausreform anzustreben. Und ich danke Ihnen jetzt schon für die Beharrlichkeit, die das Ganze erfordern wird; denn das ist kein leichtes Unterfangen. Wir streben tiefgreifende Strukturreformen an: vom Primat der Fallpauschalen zu einer besseren Finanzierung der Vorhaltekosten, zu einer besseren Strukturfinanzierung. Wir wollen aber auch zu generellen Strukturumbrüchen kommen, indem wir Kliniken in Versorgungsstufen unterteilen.', 'All das wird Mut und Tatkraft erfordern. Aber wenn es einfach wäre, könnte es jeder. Wir müssen in dieser Legislatur damit anfangen. Wir müssen es schaffen, das Gesundheitssystem gut und zukunftsfähig aufzustellen. Herr Minister, dabei haben Sie unsere volle Unterstützung. Liebe Kolleginnen und Kollegen, lassen Sie uns diese Reform angehen!']",Vielen Dank.,Health,,Aktuelle Stunde. Krise in den Kinderkliniken – Fallpauschalen abschaffen und Kinder- und Jugendmedizin wieder aufbauen,auf Verlangen der Fraktion DIE LINKE,,False,Beste Koalition ever!,Health,Health,Health,False,cooperative,True,False,False,Andrew Ullmann,männlich,True,False,Zuruf,Tina Rudolph,SPD,,"['Beste', 'Koalition', 'ever']",0,3,"[('Beifall', 'SPD', None), ('Beifall', 'GRUENE', None), ('Beifall', 'FDP', None)]",unlabeled,0.0361765474081039,0.0,,,,1284.0,False,False,0.045053344
20_0206.xml,20,18.12.2024,11,8,Angelika Glöckner,,weiblich,SPD,FDP,"['Ein häufiges Hindernis sind aber auch die vielen sozialen Unsicherheiten für Menschen, die sich selbstständig machen wollen. Kolleginnen und Kollegen von der FDP, wir hatten dazu entsprechende Maßnahmen in unserem Koalitionsvertrag vereinbart, aber leider haben Sie sich entschieden, sich davonzumachen, anstatt sich Ihrer Verantwortung zu stellen. Ich finde, Wertschätzung für Selbstständige sieht anders aus.', 'Die FDP spricht sich zudem gegen die EU-Plattformrichtlinie in der jetzigen Form aus.']","Und ich halte das für falsch, Kollege Teutrine; denn über die Plattformen werden viele Alltagsdienstleistungen erbracht. Und Sie wissen: Das ist ein rasch wachsender Markt. Dort arbeiten Menschen oft ohne Sozialversicherungsschutz, ohne Mindestlohn und ohne Arbeitsschutz. Und genau diese Richtlinie soll klären, ob Beschäftigte einen Arbeitnehmerstatus haben oder ob sie Scheinselbstständige sind. Das ist essenziell für den sozialen Schutz.",Labor,,Wirtschaftswende voranbringen und Mut zum Risiko wertschätzen – Selbstständigkeit stärken,"Beratung des Antrags der Abgeordneten Dr. Lukas Köhler, Dr. Jens Brandenburg (Rhein-Neckar), Renata Alt, weiterer Abgeordneter und der Fraktion der FDP",,False,Wir gehen von zwei Drittel Scheinselbstständigkeit in Deutschland aus!,Labor,Labor,Labor,False,confrontational,True,False,False,Jens Teutrine,männlich,True,False,Zuruf,Angelika Glöckner,SPD,,"['Wir', 'gehen', 'von', 'zwei', 'Drittel', 'Scheinselbstständigkeit', 'in', 'Deutschland', 'aus']",0,9,"[('Beifall', 'GRUENE', None)]",unlabeled,0.2472827136516571,0.0,,,,5238.0,False,False,0.20478971
20_0030.xml,20,27.04.2022,13,6,Sven-Christian Kindler,,männlich,GRUENE,GRUENE,"['Wir erleben gerade viele Cyberangriffe auf Deutschland – auf Windenergieanlagen, auf kritische Infrastruktur –, und natürlich ist klar: Die Abwehr gegen Cyberangriffe ist in unserem sicherheitspolitischen Interesse, und darin müssen wir investieren.', 'Die Außenministerin hat es angesprochen: Natürlich brauchen wir in Deutschland auch einen modernen Digitalfunk bei der Bundeswehr und eine moderne Verschlüsselungstechnik für unsere Sicherheitsinstitutionen. Die Mittel für die Ertüchtigung von Partnerstaaten, wie zum Beispiel für die Waffenlieferungen an die Ukraine, werden nicht aus dem Etat der Bundeswehr finanziert, sind im Rahmen der NATO-Quote aber natürlich anrechenbar. Das Sondervermögen für Bündnis- und Verteidigungsfähigkeit der Bundeswehr soll eben in die Ausgaben, die unter die NATO-Quote fallen, einbezogen werden.']","Ich will noch einmal sagen – auch zur Union, zu Herrn Middelberg –: Mittel für Krisenprävention, Stabilisierung und Friedensförderung vom Auswärtigen Amt und vom Bundesentwicklungsministerium waren auch in der Regierung Merkel schon anrechnungsfähig auf die NATO-Quote und wurden auch von der Regierung Merkel nach Brüssel, an die NATO, gemeldet. Ich verstehe nicht, warum Sie das jetzt hier infrage stellen.",International,"zu viel influence von vorherigen zwar nato genannt, aber geht um entwicklungshilfe, wie wichtig das auch ist zur verteidigung",,4. a) Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Änderung des Grundgesetzes (Artikel 87a). b) Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Errichtung eines „Sondervermögens Bundeswehr“ (Bundeswehrsondervermögensgesetz – BwSVermG),,False,Weil er das gar nicht weiß!,Defense,Defense,Defense,False,"cooperative, confrontational_others_cdu",True,False,False,Britta Haßelmann,weiblich,True,False,Zuruf,Sven-Christian Kindler,GRUENE,,"['Weil', 'er', 'das', 'gar', 'nicht', 'weiß']",0,6,"[('Beifall', 'GRUENE', None), ('Beifall', 'SPD', None), ('Beifall', 'FDP', None)]",unlabeled,0.0866146758198738,0.0,,,,322.0,False,False,0.018106196
20_0149.xml,20,30.01.2024,12,5,Bernhard Daldrup,,männlich,SPD,FDP,"['Das Deutsche Institut für Wirtschaftsforschung hat gerade festgestellt, dass die Baukosten um ein Viertel höher sind als 2020, also in sehr kurzer Zeit sehr dramatisch gestiegen sind. Ich weiß, dass die Union diese Fakten nicht zur Kenntnis nehmen will, sondern sich gewissermaßen am Herunterrasseln schlechter Nachrichten ergötzt', 'und nach Belieben, aber irgendwie ohne Plan mal von Sparen und mal von Investieren spricht. Sie haben schöne Beispiele gegeben: von Herrn Uhl bis zu Herrn Breilmann ziemlich durcheinander.']","Ich gebe Ihnen mal ein paar Beispiele dafür, was unterlassene Baupolitik eigentlich bedeutet. Ich war vor Kurzem in der Gemeinde Markt Schwaben – die kannte ich vorher gar nicht –, unweit von München",Housing,,Ich rufe den Tagesordnungspunkt I.6 auf:,"hier: Einzelplan 25 Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",,False,Die ist schön!,Housing,Housing,Housing,False,cooperative,True,False,False,Daniel Föst,männlich,True,False,Zuruf,Bernhard Daldrup,SPD,,"['Die', 'ist', 'schön']",0,3,[],unlabeled,0.0955843478441238,0.0,,,,3345.0,False,False,0.027443023
