Interjection Text,Paragraph,Directed at (Party),Party,Interjector Party,Quote,true_label,pred_label
Genau!,Das macht Ihr Vorschlag genau nicht.,GRUENE,GRUENE,FDP,False,['ambiguous'],['cooperative']
"Aber damals gab’s schon Menschen! Damals gab es schon Familien, Gesundheit!","Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Das heutige Arbeitszeitgesetz ist 30 Jahre alt. Es stammt aus einer Zeit, in der es noch kein Internet im Arbeitsleben gab, in der es noch keine E-Mails im Arbeitsleben gab",FDP,FDP,GRUENE,False,['confrontational'],['ambiguous']
Und zwar schon jetzt!,"Liebe Kolleginnen und Kollegen, das gibt mir die Möglichkeit, auf einige andere Argumente näher einzugehen. Vorhin wurde gesagt, das gewonnene Direktmandat sei sozusagen die wichtigste Stimme bei der personalisierten Verhältniswahl. Der Deutsche Bundestag setzt sich aus dem Zweitstimmenergebnis der Bundestagswahl zusammen.",SPD,SPD,FDP,False,['cooperative'],['ambiguous']
Genau!,"Aber abgesehen von dem Dank, den wir ihnen zollen, müssen wir auch unserer Verantwortung gerecht werden. Als Parlamentarier haben wir uns vorgenommen – ich bin froh, dass dieser Gesetzentwurf aus den Reihen des Parlaments kommt; er ist ein Parlamentsgesetzentwurf –, dass wir den Polizeien des Bundes, also dem BKA, der Bundespolizei und der Polizei beim Deutschen Bundestag, die für uns da ist, einen Polizeibeauftragten an die Seite stellen. Das ist übrigens kein neues Konzept.",FDP,FDP,SPD,False,['cooperative'],['cooperative']
So ist es!,"Nicht nur das Gesetz gegen den unlauteren Wettbewerb steht reißerischer Werbung in diesem Bereich entgegen, auch die Berufsordnung der Landesärztekammern.",SPD,SPD,GRUENE,False,['cooperative'],['cooperative']
Was? Die CDU hat das organisiert?,"Wenn es dann in dem Antrag heißt: „Der Einsatz des Verbrennungsmotors im Pkw ist damit ab 2035 de facto verboten!“, dann ist das zum einen ein Vorwurf der Bundestagsfraktion an die Europäische Kommission unter Führung der CDU, die das natürlich alles mitbestimmt hat,",GRUENE,GRUENE,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Ach was?,"Was sehen wir da? In Bayern ist der Ausbau der Windenergie praktisch zum Erliegen gekommen. Es waren vor zehn Jahren um die 300 Megawatt, die in Bayern pro Jahr zugebaut wurden. 2023 waren es 36 Megawatt.",SPD,SPD,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Diese Aneinanderreihung von Textbausteinen!,Wir haben nur einen Mangel an Mut zur Prioritätensetzung im Umgang mit den vielen Mitteln.,FDP,FDP,GRUENE,False,['confrontational'],['confrontational']
So ist es!,"Herr Hess, waren Sie eigentlich da, als der Generalbundesanwalt und sein Vertreter im Innenausschuss und im Rechtsausschuss erklärt haben, dass der Generalbundesanwalt noch nie in der Geschichte dieser Behörde so viele Verfahren gegen Rechtsterroristen betrieben hat wie heute?",SPD,SPD,GRUENE,False,['cooperative'],['cooperative']
Sie waren doch Finanzminister!,"Man könnte diese konsumtiven Ausgaben ja einsparen, dann hätte man Geld für Investitionen; also, dafür ist Geld da.",FDP,FDP,SPD,False,['confrontational'],['confrontational']
So ist es!,"Werte Kolleginnen und Kollegen, bei aller berechtigten Diskussion um einen vorgezogenen Abzug unserer Kräfte dürfen wir nicht die Leidtragenden der Entscheidung der Transitionsregierung aus den Augen verlieren. Die Konsequenzen des Endes der MINUSMA-Mission wird in erster Linie die malische Zivilbevölkerung tragen,",SPD,SPD,GRUENE,False,['cooperative'],['cooperative']
Sehr richtig!,"Sehr geehrte Damen und Herren, Sie hören teilweise die Zurufe von rechts nicht. Sie beweisen aber, dass genau diese Resilienz des Bundesverfassungsgerichts,",SPD,SPD,SPD,False,['cooperative'],['cooperative']
